Post_Full_Name,Risk,Longitude,Latitude
U.S. Consulate General in Munich,76.74744434239447,11.575,48.1375
U.S. Consulate General in Naples,73.40703317356785,14.223740714649724,40.83118183825395
U.S. Consulate General in Nogales,39.10414529343897,-110.940034,31.28884412
U.S. Consulate General in Nuevo Laredo,34.64922768870995,-99.506944,27.486111
U.S. Consulate General in Quebec,49.68475165543648,-71.20693568487476,46.81061277913991
U.S. Consulate General in Recife,15.235798764701624,-34.89513298604406,-8.057479794198347
U.S. Consulate General in Rio de Janeiro,6.699246965976041,-43.17603538580082,-22.9114962850094
U.S. Consulate General in Sao Paulo,5.643117077351937,-46.71500176726864,-23.62940068682292
U.S. Consulate General in Tijuana,41.21007705751781,-117.033333,32.525
U.S. Consulate General in Toronto,46.50150272458017,-79.39009958500738,43.65277537912137
U.S. Consulate General in Vancouver,57.60198143121645,-123.12183428476568,49.287486979331824
U.S. Consulate General in Vladivostok,92.27236091120668,131.909319,43.115336
U.S. Consulate General in Wuhan,93.98321653337054,114.3046,30.5934
U.S. Consulate General in Yekaterinburg,100.0,60.61001199999999,56.833759
U.S. Consulate Lyon,71.03094746468571,4.835273451230727,45.76303722137151
U.S. Consulate Medan,75.07922120121727,111.89607071518957,-7.613783077380901
U.S. Consulate Ponta Delgada Azores,48.61062443497055,-25.71346686956659,37.74504219110972
U.S. Consulate Rennes,69.28399028327627,-1.684267,48.110242
U.S. Consulate in Hamilton,35.96546503872645,-64.77029974967265,32.29539498102744
U.S. Consulate in Ho Chi Minh City,87.46212599720941,106.69824081393286,10.783177692316896
U.S. Consulate in Melbourne,40.79853441085649,144.97817895110475,-37.84685074361148
U.S. Consulate in Perth,51.3968897569441,115.86226395093502,-31.956718429700384
U.S. Consulate in Porto Alegre,2.7049991689191875,-51.170603185102486,-30.012005881894144
U.S. Consulate in Shanghai,92.70354211953709,121.4737,31.2304
U.S. Consulate in Shenyang,94.17211652289294,123.434,41.8047
U.S. Consulate in Sydney,42.72531335814786,151.20416721564197,-33.83987982499072
U.S. Consulate in Thessaloniki,78.54551866659476,22.94021111530864,40.633251679340525
U.S. Consulate in Winnipeg,54.5093331566975,-97.14146048445257,49.89568903506278
U.S. Embassy Abuja,47.86911625232445,7.4891,9.058
U.S. Embassy Ankara,83.21734635220321,32.8539583150804,39.90822509433245
U.S. Embassy Apia,36.257587768589296,-171.76823229865656,-13.832368052669494
