,State,Post_Full_Name,Latitude,Longitude
138,Lithuania,U.S. Embassy in Vilnius,54.68340487076181,25.248973383902904
139,Libya,U.S. Embassy in Tripoli,32.8830,013.1897
140,Luxembourg,U.S. Embassy in Luxembourg,49.814444,6.131667
141,Madagascar,U.S. Embassy in Antananarivo,-18.9201,047.5237
142,Malawi,U.S. Embassy in Lilongwe,-13.9899,033.7703
143,Malaysia,U.S. Embassy in Kuala Lumpur,03.1502,101.7077
144,Maldives,U.S. Virtual Mission in Maldives,6.913233,79.848618
145,Mali,U.S. Embassy in Bamako,12.629849291080781,-8.021094985993539
146,Malta,U.S. Embassy Valletta,35.89065722606469,14.424656115526965
147,Marshall Islands,U.S. Embassy Majuro,6.695698897670837,170.5419396139032
148,Mauritania,U.S. Embassy in Nouakchott,18.087209723782,-15.992307828442954
149,Mauritius,U.S. Embassy in Port Louis,-20.161990586407807,57.49828105022801
150,Mexico,U.S. Embassy in Mexico City,19.4271,-099.1276
151,Mexico,U.S. Consulate General in Ciudad Juarez,31.738581,-106.487014
152,Mexico,U.S. Consulate General in Guadalajar,20.676667,-103.3475
153,Mexico,U.S. Consulate General in Hermosillo,29.098889,-110.954167
154,Mexico,U.S. Consulate General in Matamoros,25.88700974,-97.50320479
155,Mexico,U.S. Consulate General in Merida,20.99083555,-89.62002094
156,Mexico,U.S. Consulate General in Monterrey,25.666667,-100.3
157,Mexico,U.S. Consulate General in Nogales,31.28884412,-110.940034
158,Mexico,U.S. Consulate General in Nuevo Laredo,27.486111,-99.506944
159,Mexico,U.S. Consulate General in Tijuana,32.525,-117.033333
160,Moldova,U.S. Embassy in Chisinau,47.021521,28.818999
161,Micronesia,U.S. Embassy in Kolonia,6.85,158.216667
162,Mongolia,U.S. Embassy in Ulaanbaatar,47.928228,106.930189
163,Montenegro,U.S. Embassy in Podgorica,42.43683063824326,19.24739101507193
164,Morocco,U.S. Embassy Rabat,33.955802,-6.824677
165,Morocco,U.S. Consulate General Casablanca,33.590838,-7.626588
166,Namibia,U.S. Embassy Windhoek,-22.57561503181287,17.08486131483526
167,Mozambique,U.S. Embassy Maputo,-25.9686,032.5804
168,Nepal,U.S. Embassy in Kathmandu,27.7058,085.3157
